year,country,EAR,ROA,LLR,LIQ,AG,WFS,SFP,CDL,frag_capital,frag_profit,frag_assetq,frag_liquidity,stress_score,y_true,y_alt,EAR_lag1,ROA_lag1,LLR_lag1,LIQ_lag1,prev_y
2021,South Africa,0.000370166368968546,0.0017155443269520276,,0.0,-0.1601026229138276,0.0,0.000370166368968546,0.0,1,0,0,1,2,1,1,0.0003825836337837824,0.012011484067364332,0.0,0.0,1.0
2022,South Africa,0.00021721644833157515,0.002193962063818237,0.0,0.0,0.0782722779647651,0.0,0.00021721644833157515,0.0,1,0,0,1,2,1,1,0.000370166368968546,0.0017155443269520276,,0.0,1.0
2023,South Africa,0.00013488540325151145,0.0017698702399649648,0.0,0.0,0.20897493987856763,0.0,0.00013488540325151145,0.0,1,0,0,1,2,1,1,0.00021721644833157515,0.002193962063818237,0.0,0.0,1.0
2024,South Africa,0.00029484227957510403,0.01186893214999286,0.0,0.0,0.06357570035164706,0.0,0.00029484227957510403,0.0,1,0,0,1,2,1,1,0.00013488540325151145,0.0017698702399649648,0.0,0.0,1.0
2004,Tanzania,0.1590461948807331,0.02716103177589838,0.020065020660002434,1.2858576455597588,,0.028945627832394846,0.9576838519281428,0.94968076984222,0,0,0,0,0,0,0,,,,,
2005,Tanzania,1.0,0.005767394704032347,,0.16335486024652074,5251.054865086125,0.07599935916894175,1.0,0.0,0,0,0,1,1,0,1,0.1590461948807331,0.02716103177589838,0.020065020660002434,1.2858576455597588,0.0
2006,Tanzania,0.11670747095975158,0.0,,0.0,0.22223052612317518,0.10230561861578408,0.11670747095975158,0.0,0,1,0,1,2,1,1,1.0,0.005767394704032347,,0.16335486024652074,0.0
2007,Tanzania,0.119442630621407,0.002185700544481996,,0.22122177850969502,0.18817340048335107,0.11224099891783074,0.119442630621407,0.0,0,0,0,0,0,0,0,0.11670747095975158,0.0,,0.0,1.0
2008,Tanzania,0.27813861943806034,0.030342443052540843,,0.5155483620958236,-0.623758697531958,0.19931965818891878,0.27813861943806034,0.0,0,0,0,0,0,0,0,0.119442630621407,0.002185700544481996,,0.22122177850969502,0.0
2009,Tanzania,,0.23390792415153464,,,-1.0,,,,0,0,0,0,0,0,0,0.27813861943806034,0.030342443052540843,,0.5155483620958236,0.0
2010,Tanzania,0.10282117328484766,0.0,,0.0,,1.990362839707389,0.10282117328484766,0.0,0,1,0,1,2,1,1,,0.23390792415153464,,,0.0
2011,Tanzania,0.17320648278287878,0.08909988185974753,,0.14365743670514336,0.15641289992595087,0.18728507861931895,0.17320648278287878,0.0,0,0,0,1,1,0,1,0.10282117328484766,0.0,,0.0,1.0
2012,Tanzania,0.1335319705786967,0.08127331361564127,,0.16898692914727262,0.0443166015583043,0.009453410476184665,0.1335319705786967,0.0,0,0,0,1,1,0,1,0.17320648278287878,0.08909988185974753,,0.14365743670514336,0.0
2013,Tanzania,0.10900445657723591,0.0,,0.17269365932706768,0.13774091542325473,0.08551412258110111,0.10900445657723591,0.0,0,1,0,1,2,1,1,0.1335319705786967,0.08127331361564127,,0.16898692914727262,0.0
2014,Tanzania,0.0,0.01795392348882217,,0.17027802722397953,0.11981542035702941,0.2650177172162301,0.0,0.0,1,0,0,1,2,1,1,0.10900445657723591,0.0,,0.17269365932706768,1.0
2015,Tanzania,,0.0,,,-1.0,,,,0,1,0,0,1,0,1,0.0,0.01795392348882217,,0.17027802722397953,1.0
2016,Tanzania,,,,,,,,,0,0,0,0,0,0,0,,0.0,,,0.0
2017,Tanzania,,,,,,,,,0,0,0,0,0,0,0,,,,,0.0
2018,Tanzania,,,,,,,,,0,0,0,0,0,0,0,,,,,0.0
2019,Tanzania,0.12786986372643275,0.015564076995048791,,0.3102478101663558,,0.2628239081447178,0.12786986372643275,0.0,0,0,0,1,1,0,1,,,,,0.0
2020,Tanzania,0.1174818339846425,0.005435693525490139,,0.6696816276346877,0.06190240534345115,0.2510541626791084,0.1174818339846425,0.0,0,0,0,1,1,0,1,0.12786986372643275,0.015564076995048791,,0.3102478101663558,0.0
2021,Tanzania,0.10692012401557718,0.014066112674574766,,0.6357313957974242,0.09723535486818147,0.21675884652539593,0.10692012401557718,0.0,0,0,0,1,1,0,1,0.1174818339846425,0.005435693525490139,,0.6696816276346877,0.0
2022,Tanzania,0.07294970732327882,0.0031388659819733106,,0.4555810733863965,0.06937614696893024,0.21764630624648917,0.07294970732327882,0.0,0,0,0,1,1,0,1,0.10692012401557718,0.014066112674574766,,0.6357313957974242,0.0
2023,Tanzania,0.05968015434582546,0.0028709033917930318,,0.5189104404014796,0.14375595466891156,0.25326790981769826,0.05968015434582546,0.0,0,0,0,1,1,0,1,0.07294970732327882,0.0031388659819733106,,0.4555810733863965,0.0
2024,Tanzania,0.09673259747004195,0.04410742477458298,,0.503355313568827,0.08688627454639697,0.1997639531204223,0.09673259747004195,0.0,0,0,0,0,0,0,0,0.05968015434582546,0.0028709033917930318,,0.5189104404014796,0.0
2004,Zambia,0.0200874106474277,,0.0,0.3864461944825742,,0.09699424865043776,0.09002274389396785,5.5907601052988907e-05,1,0,0,0,1,0,1,,,,,
2005,Zambia,0.00020314739576957985,-0.033292566248409365,0.0,0.484602930276808,-0.15698468216653283,0.13525604378056372,0.09028409230478701,0.00029792354028086883,1,1,0,0,2,1,1,0.0200874106474277,,0.0,0.3864461944825742,0.0
2006,Zambia,1.0,0.05456070879288333,0.0,0.2878053589481708,-0.19992305274152078,0.30029302768372435,1.1433517858410556,0.0008628711856587123,0,0,0,1,1,0,1,0.00020314739576957985,-0.033292566248409365,0.0,0.484602930276808,1.0
2007,Zambia,1.0,-0.03526301651355394,0.0,0.32368242396083796,0.23574179754681657,0.22973250348955424,1.2051240629028186,0.0006036104187892483,0,1,0,1,2,1,1,1.0,0.05456070879288333,0.0,0.2878053589481708,0.0
2008,Zambia,0.0883534609697421,0.05036432582631792,0.0,0.5026865604763884,0.08556591486431753,0.0022833957217155425,0.2833982344024981,0.009036870125035935,0,0,0,0,0,0,0,1.0,-0.03526301651355394,0.0,0.32368242396083796,1.0
2009,Zambia,0.022823494814833256,-0.007655656494910714,0.0,0.5247393793396161,0.644550859622097,0.14842863919557017,0.23399088135973015,0.09583996302157304,1,1,0,0,2,1,1,0.0883534609697421,0.05036432582631792,0.0,0.5026865604763884,0.0
2010,Zambia,0.008517221527620047,-0.011913340738421485,0.0,0.5885856571318915,0.0,0.14577469757165382,0.24574743748169378,0.08543768520838399,1,1,0,0,2,1,1,0.022823494814833256,-0.007655656494910714,0.0,0.5247393793396161,1.0
2011,Zambia,0.01193749571904215,0.007949346888026754,0.0,0.5913737767201525,0.1890707968862928,0.11286817339693245,0.3270590067723457,0.09910585996640915,1,0,0,0,1,0,1,0.008517221527620047,-0.011913340738421485,0.0,0.5885856571318915,1.0
2012,Zambia,0.011657821033109906,0.001462338531880863,0.0,0.6748802069868972,0.2239176886684484,0.19883720190402915,0.28920640107076434,0.040395051075142435,1,0,0,0,1,0,1,0.01193749571904215,0.007949346888026754,0.0,0.5913737767201525,0.0
2013,Zambia,0.046910936056414825,0.016380379626061738,0.0,0.6026269925583372,-0.008586418437760424,0.22699446488092648,0.20975384505311082,0.04612652300282027,0,0,0,1,1,0,1,0.011657821033109906,0.001462338531880863,0.0,0.6748802069868972,0.0
2014,Zambia,0.06385874263731138,0.031014621422960898,0.0,0.6437742165955753,0.21338255561325226,0.27373549280794973,0.3573044374746407,0.27075843667039506,0,0,0,1,1,0,1,0.046910936056414825,0.016380379626061738,0.0,0.6026269925583372,0.0
2015,Zambia,0.25340815059055294,0.27933549148318915,0.0,0.6951270473587359,0.574552357219209,0.27626816465914616,0.5327690831456352,0.27527854462741524,0,0,0,1,1,0,1,0.06385874263731138,0.031014621422960898,0.0,0.6437742165955753,0.0
2017,Zambia,0.17186090570597798,0.027711047102760906,0.0,0.39726461689863846,0.0059306980710835955,0.17262808597458523,0.3763526816371072,0.16841134311041542,0,0,0,0,0,0,0,0.25340815059055294,0.27933549148318915,0.0,0.6951270473587359,0.0
2018,Zambia,0.21740390364443526,0.06946931863217251,0.0,0.428588890965697,0.026804067517166352,0.13962330092983483,0.36306668787609536,0.1376193963187618,0,0,0,0,0,0,0,0.17186090570597798,0.027711047102760906,0.0,0.39726461689863846,0.0
2019,Zambia,0.20262708748390648,0.05409479486579607,0.0,0.3518268627665739,0.20021315022114083,0.18319914622393452,0.386638649284833,0.18029170797170926,0,0,0,0,0,0,0,0.21740390364443526,0.06946931863217251,0.0,0.428588890965697,0.0
2020,Zambia,0.183236277750641,0.09514585488856671,0.0,0.2882951092946502,0.517706851517648,0.21206540686903202,0.38854113379275707,0.2106039696786022,0,0,0,1,1,0,1,0.20262708748390648,0.05409479486579607,0.0,0.3518268627665739,0.0
2021,Zambia,0.9514074394078241,0.013857943445933248,0.0,0.3807910136838231,0.360501378722877,0.07012096942190194,1.1621195727857827,0.16068149354271483,0,0,0,0,0,0,0,0.183236277750641,0.09514585488856671,0.0,0.2882951092946502,0.0
2022,Zambia,0.1172560890843715,0.030679481452995636,0.0,0.45298280985311995,-0.014241847021442267,0.21344375941358498,0.4769581124795151,0.21191585756011505,0,0,0,1,1,0,1,0.9514074394078241,0.013857943445933248,0.0,0.3807910136838231,0.0
2023,Zambia,0.19800423997597225,0.05971281963234244,0.0,0.5292084974038486,0.30763527081532405,0.342741766078108,0.49824190402286916,0.3208914395673686,0,0,0,1,1,0,1,0.1172560890843715,0.030679481452995636,0.0,0.45298280985311995,0.0
2024,Zambia,0.18246839021657987,0.03711431060379399,0.0,0.5815783999635052,0.2707262697134951,0.3627129775865504,0.507019529409662,0.36120625931627504,0,0,0,1,1,0,1,0.19800423997597225,0.05971281963234244,0.0,0.5292084974038486,0.0
